card-id,name,faction,kind,tier,cost,ai-prompt
power-sabotage,Sabotage,universal,power,2,2,"Spell icon for a card game ability. Visual cue: Destroy an enemy building. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-resupply,Resupply,universal,power,1,1,"Spell icon for a card game ability. Visual cue: Draw 2 cards. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-berserk,Berserk,universal,power,2,2,"Spell icon for a card game ability. Visual cue: Give a friendly unit +2 ATK and +0 HP. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-venom,Venom Spray,universal,power,1,2,"Spell icon for a card game ability. Visual cue: Poison a unit: deal 2 damage at the start of each of its owner's next 2 turns. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-rot,Rot,zombie,power,1,2,"Spell icon for a card game ability. Visual cue: Rot a unit: deal 1 damage at the start of each of its owner's next 3 turns. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-scorch,Scorched Earth,universal,power,2,3,"Spell icon for a card game ability. Visual cue: Deal 2 damage to every unit in a lane — both sides. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-mend,Emergency Medkit,universal,power,1,2,"Spell icon for a card game ability. Visual cue: Restore 3 HP to your hero (up to maximum). neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-overcharge,Overcharge,combine,power,1,1,"Spell icon for a card game ability. Visual cue: Gain 2 mana (up to your maximum). dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-salvage,Salvage Run,universal,power,2,3,"Spell icon for a card game ability. Visual cue: Add a Mercenary to your hand (lost if your hand is full). neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-execution,Execution Protocol,combine,power,3,5,"Spell icon for a card game ability. Visual cue: Destroy an enemy unit. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-wither,Wither Toxin,antlion,power,2,2,"Spell icon for a card game ability. Visual cue: Reduce an enemy unit's attack by 2 and deal 1 damage to it. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
antlion-spitter,Antlion Spitter,antlion,unit,3,4,"Card character: Antlion Spitter. Visual cue: Coats its prey in a venom that lingers. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. majestic, epic, imposing, high-tier legendary design. stats 3/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-engineer,Rebel Engineer,rebel,unit,3,4,"Card character: Rebel Engineer. Visual cue: Keeps the resistance standing, hero included. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. majestic, epic, imposing, high-tier legendary design. stats 3/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-drone,Power Drone,combine,unit,2,3,"Card character: Power Drone. Visual cue: A buzzing relay that taps the Combine grid. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. mid-tier design, solid and functional. stats 1/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-swarm,Bug Swarm,antlion,unit,1,2,"Card character: Bug Swarm. Visual cue: Cheap swarming pressure. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. simple, common, low-tier design, small and humble. stats 3/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-hunter,Antlion Hunter,antlion,unit,2,3,"Card character: Antlion Hunter. Visual cue: Snaps its prey in half before it lands. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. stats 4/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-queen,Antlion Queen,antlion,unit,3,6,"Card character: Antlion Queen. Visual cue: Lays eggs that hatch into fresh swarms. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. majestic, epic, imposing, high-tier legendary design. stats 4/8. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-larva-pool,Larva Pool,antlion,building,2,3,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 1. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-acid-rain,Acid Rain,antlion,power,2,4,"Spell icon for a card game ability. Visual cue: Deal 2 damage to every unit in a lane — both sides. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
combine-juggernaut,Combine Juggernaut,combine,unit,3,8,"Card character: Combine Juggernaut. Visual cue: An unstoppable armored finisher. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. stats 7/9. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-power-substation,Power Substation,combine,building,2,4,"Defensive fortification for a card game. Visual cue: Your unit in this lane gets +2 attack while attacking. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
rebel-guerrilla,Guerrilla,rebel,unit,1,2,"Card character: Guerrilla. Visual cue: Cheap, stubborn lane pressure. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. simple, common, low-tier design, small and humble. stats 2/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-ambusher,Ambusher,rebel,unit,2,4,"Card character: Ambusher. Visual cue: Strikes from the brush with a venomous blade. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. stats 4/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-supply-drop,Supply Drop,rebel,building,2,4,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 2. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-medic-convoy,Medic Convoy,rebel,power,2,3,"Spell icon for a card game ability. Visual cue: Restore 5 HP to your hero (up to maximum). gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-landmine,Landmine,rebel,power,1,2,"Spell icon for a card game ability. Visual cue: Deal 3 damage to every unit in a lane — both sides. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
zombie-ghoul,Ghoul,zombie,unit,1,3,"Card character: Ghoul. Visual cue: Hungry and relentless. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. simple, common, low-tier design, small and humble. stats 3/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-plague,Plague Bearer,zombie,unit,2,4,"Card character: Plague Bearer. Visual cue: Its breath spreads a festering infection. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. stats 2/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-brute,Zombie Brute,zombie,unit,3,5,"Card character: Zombie Brute. Visual cue: A hulking mass of rotting muscle. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. majestic, epic, imposing, high-tier legendary design. stats 5/6. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-titan,Zombie Titan,zombie,unit,3,7,"Card character: Zombie Titan. Visual cue: A towering wall of the undead. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. majestic, epic, imposing, high-tier legendary design. stats 6/10. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-tomb,Tomb,zombie,building,2,4,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 2. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-extermination,Extermination,zombie,power,3,6,"Spell icon for a card game ability. Visual cue: Destroy an enemy unit. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. majestic, epic, imposing, high-tier legendary design. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
universal-guard,Guard,universal,unit,1,2,"Card character: Guard. Visual cue: A sturdy wall for any lane. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. stats 1/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
power-overclock,Overclock,universal,power,2,2,"Spell icon for a card game ability. Visual cue: Gain 3 mana (up to your maximum). neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
guardian-sentinel,Guardian Sentinel,guardian,unit,1,1,"Card character: Guardian Sentinel. Visual cue: A patient wall of stone and light. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. simple, common, low-tier design, small and humble. stats 1/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
guardian-priest,Guardian Priest,guardian,unit,2,3,"Card character: Guardian Priest. Visual cue: Mends wounds with a steady, glowing hand. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. mid-tier design, solid and functional. stats 2/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
guardian-bulwark,Guardian Bulwark,guardian,unit,3,5,"Card character: Guardian Bulwark. Visual cue: An unbreakable rampart that hardens its allies. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. majestic, epic, imposing, high-tier legendary design. stats 2/7. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-sacred-shrine,Sacred Shrine,guardian,building,2,3,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 1. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-sacred-light,Sacred Light,guardian,power,1,2,"Spell icon for a card game ability. Visual cue: Restore 3 HP to your hero (up to maximum). holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-holy-shield,Holy Shield,guardian,power,2,3,"Spell icon for a card game ability. Visual cue: Give a friendly unit +0 ATK and +3 HP. holy guardian faction, radiant golden stone armor, warm divine light, serene paladins and shrines. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
wraith-stalker,Wraith Stalker,wraith,unit,1,2,"Card character: Wraith Stalker. Visual cue: Strikes before it can be seen. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. simple, common, low-tier design, small and humble. stats 4/1. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
wraith-reaper,Wraith Reaper,wraith,unit,2,3,"Card character: Wraith Reaper. Visual cue: Its touch withers flesh. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. mid-tier design, solid and functional. stats 3/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
wraith-lord,Wraith Lord,wraith,unit,3,5,"Card character: Wraith Lord. Visual cue: A hollow crown that drinks the strength of the living. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. majestic, epic, imposing, high-tier legendary design. stats 5/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-wraith-alter,Wraith Altar,wraith,building,2,3,"Defensive fortification for a card game. Visual cue: Your unit in this lane gets +1 attack while attacking. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-haunt,Haunt,wraith,power,1,2,"Spell icon for a card game ability. Visual cue: Haunt a unit: deal 2 damage at the start of each of its owner's next 2 turns. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-soul-theft,Soul Theft,wraith,power,3,4,"Spell icon for a card game ability. Visual cue: Reduce an enemy unit's attack by 1, deal 2 damage to it, and restore 2 HP to your hero. spectral wraith faction, ghostly dark wisps, cold blue-green ethereal glow, menacing undead spirits. majestic, epic, imposing, high-tier legendary design. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-stasis-field,Stasis Field,universal,power,2,2,"Spell icon for a card game ability. Visual cue: Stun an enemy unit: it skips its next attack. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-terror-raid,Terror Raid,universal,power,2,2,"Spell icon for a card game ability. Visual cue: Terrorize the enemy: they discard 2 random cards. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
universal-demolition-volunteer,Demolition Volunteer,universal,unit,1,2,"Card character: Demolition Volunteer. Visual cue: A packed charge that grows stronger with every ally beside it. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. stats 3/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
universal-drill-sergeant,Drill Sergeant,universal,unit,1,1,"Card character: Drill Sergeant. Visual cue: Hurls a rallying order the moment they take the field: +1 attack to itself. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. stats 1/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
